waste,wst_oper,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
EE_CPV_PVP,TRT_EU_FOR,KG_HAB,NL	: 	0 	0 e	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,KG_HAB,PL	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,KG_HAB,PT	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,KG_HAB,RO	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,KG_HAB,SK	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,KG_HAB,UK	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,AT	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,BE	72 	94 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,CY	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,CZ	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,DE	0 	26 	60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,DK	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,EL	0 	0 	59 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,ES	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,FR	1449 	1786 	223 	353 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,HR	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,IE	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,MT	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,NL	0 	0 	35 e	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,PL	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,PT	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,RO	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,SK	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_EU_FOR,T,UK	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,AT	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,BE	: 	0 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,CY	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,CZ	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,DE	: 	0.04 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,DK	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,EL	: 	0 	0 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,ES	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,FR	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,LU	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,MT	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,NL	: 	0 	0 e	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,PT	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,RO	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,SK	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,KG_HAB,UK	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,AT	8 	22 	12 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,BE	85 	0 	242 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,CY	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,CZ	13 	13 	44 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,DE	7865 	3568 	1970 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,DK	1 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,EL	0 	0 	11 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,ES	276 	149 	116 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,FR	106 	99 	0 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,IE	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,LU	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,MT	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,NL	17 	18 	61 e	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,PT	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,RO	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,SK	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NAT,T,UK	86 	106 	104 	147 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,AT	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,BE	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,CY	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,CZ	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,DE	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,DK	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,EL	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,ES	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,FR	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,HR	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,LT	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,LU	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,MT	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,NL	: 	0 	0 	0 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,PL	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,PT	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,RO	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,SE	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,SI	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,SK	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,KG_HAB,UK	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,AT	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,BE	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,CY	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,CZ	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,DE	0 	1 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,DK	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,EL	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,ES	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,FR	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,HR	: 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,IE	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,LT	: 	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,LU	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,MT	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,NL	0 	0 	0 	0 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,PL	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,PT	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,RO	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,SE	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,SI	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,SK	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_CPV_PVP,TRT_NEU,T,UK	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_EET,COL,KG_HAB,AT	: 	0.38 	0.29 	0.28 	0.28 	0.26 	0.25 	0.23 	0.22 	0.21 	0.22 	0.17 	0.16 	0.04 
EE_EET,COL,KG_HAB,BE	: 	0.43 	0.41 	0.45 	0.32 	0.28 	0.24 	0.26 	0.21 	0.2 	0.17 	0.15 	0.14 	0.12 
EE_EET,COL,KG_HAB,BG	: 	0.25 	0.34 	0.3 d	0.17 d	0.17 	0.17 	0.24 	0.2 	0.1 	: 	: 	: 	: 
EE_EET,COL,KG_HAB,CY	: 	0.1 	0.06 	0.05 	0.04 	0.04 	0.06 	0.06 	0.04 	0.05 	0.09 	0.06 	: 	: 
EE_EET,COL,KG_HAB,CZ	: 	0.22 	0.25 	0.17 	0.09 	0.06 	0.08 	0.06 	0.07 	0.08 	0.08 	0.05 	: 	: 
EE_EET,COL,KG_HAB,DE	: 	0.4 	0.53 	0.37 	0.39 	0.31 	0.3 	0.27 	0.28 	0.36 	0.27 	0.16 	0.14 	: 
EE_EET,COL,KG_HAB,DK	: 	0.27 	0.26 	0.35 	0.36 	0.18 	0.18 	0.19 	0.13 	0.43 	0.37 	0.38 	0.1 	: 
EE_EET,COL,KG_HAB,EE	: 	0.08 	0.24 	0.15 	0.06 	0.05 	0.07 	0.12 	0.1 	0.18 	0.08 	0.05 	0.01 	: 
EE_EET,COL,KG_HAB,EL	: 	0.01 	0.01 d	0.01 	0.01 d	0.01 d	0.01 d	0.01 d	0.01 	0.01 	0.01 	0 	0 	0 
EE_EET,COL,KG_HAB,ES	: 	0.04 	0.04 	0.03 	0.03 	0.03 	0.05 	0.04 	0.03 	0.03 	0.02 	0.01 	0 	: 
EE_EET,COL,KG_HAB,EU27_2020	: 	0.28 s	0.28 s	0.22 	0.2 	0.15 	0.14 	0.14 	: 	: 	: 	: 	: 	: 
EE_EET,COL,KG_HAB,EU28	: 	0.29 s	0.29 s	0.23 	0.21 	0.16 	0.16 	0.16 	: 	: 	: 	: 	: 	: 
EE_EET,COL,KG_HAB,FI	: 	0.13 	0.16 	0.2 	0.22 	0.17 	0.13 	0.13 	0.05 	0.11 	0.08 	0.08 	0.05 	0.01 
EE_EET,COL,KG_HAB,FR	: 	0.35 	0.26 	0.2 	0.16 	0.13 	0.1 	0.09 	0.08 	0.07 	0.05 	0.02 	0 	: 
EE_EET,COL,KG_HAB,HR	: 	0.12 	0.15 	0.09 	0.08 	0.09 	0.13 	0.17 	: 	: 	: 	: 	: 	: 
EE_EET,COL,KG_HAB,HU	: 	0.07 	0.07 	0.06 	0.09 	0.06 	0.05 	0.04 	0.05 	0.05 	0.03 	0.03 	0.01 	0.01 
EE_EET,COL,KG_HAB,IE	: 	0.37 	0.26 	0.2 	0.41 	0.42 	0.11 	0.17 	0.23 	0.11 	0.22 	0.27 	: 	: 
EE_EET,COL,KG_HAB,IS	: 	1.9 	1.27 	1.19 	0.49 	0.07 	0.08 	0.03 	0.03 	0.02 	: 	: 	: 	: 
EE_EET,COL,KG_HAB,IT	: 	: 	: 	0.23 	0.16 	0.01 	0.01 	0.01 	0.01 	0.01 	0.05 	0.03 	: 	: 
EE_EET,COL,KG_HAB,LI	: 	: 	: 	: d	: 	: 	0 d	0 d	0 d	0 d	: 	: 	: 	: 
EE_EET,COL,KG_HAB,LT	: 	0.55 	0.37 	0.29 	0.69 	0.35 	0.36 	0.28 	0.19 	0.15 	0.22 	0.23 	0.08 	0.01 
EE_EET,COL,KG_HAB,LU	: 	0.5 	0.52 	0.49 	0.47 	0.32 	0.32 	0.32 	0.31 	0.35 	0.33 	0.25 	0.15 	: 
EE_EET,COL,KG_HAB,LV	: 	0.36 	0.24 	0.21 	0.2 	0.15 	0.13 	0.12 	0.12 	0.11 	0.21 	0.21 	: 	: 
EE_EET,COL,KG_HAB,MT	: 	0.2 	0.59 	0.01 	0.13 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_EET,COL,KG_HAB,NL	: 	0.21 	0.16 	0.17 	0.14 	0.15 	0.14 	0.14 	0.11 	0.09 	0.11 	0.1 	0.08 	0.06 
EE_EET,COL,KG_HAB,NO	: 	1.38 	1.37 	1.63 	1.81 	1.95 	1.81 	1.88 	2.05 	2.8 	3.02 	2.79 	2.63 	3.72 
EE_EET,COL,KG_HAB,PL	: 	0.56 	0.48 	0.29 	0.27 	0.27 	0.29 	0.3 	0.21 	0.18 	0.04 	0.03 	0.01 	: 
EE_EET,COL,KG_HAB,PT	: 	0.18 	0.17 d	0.17 	0.04 	0.03 	0.05 	0.07 	0.04 	0.03 	0.03 	0 	0 	: 
EE_EET,COL,KG_HAB,RO	: 	: 	0.05 	0.04 	0.04 	0.04 	0.03 	0.04 	0.03 	0.03 	0.02 	0.01 	0.01 	: 
EE_EET,COL,KG_HAB,SE	: 	0.32 	0.35 	0.31 	0.3 	0.27 	0.23 	0.21 	0.16 	0.16 	0.17 	0.24 	0.21 	0.08 
EE_EET,COL,KG_HAB,SI	: 	0.22 	0.1 	0.06 	0.08 	0.07 	0.1 	0.1 	0.04 	0.04 	0.04 	0.02 	: 	: 
EE_EET,COL,KG_HAB,SK	: 	0.24 	0.2 	0.17 	0.22 	0.22 	0.21 	0.25 	0.1 	0.05 	0.03 	0.03 	0.01 	0.01 
EE_EET,COL,KG_HAB,UK	: 	0.32 	0.34 	0.33 	0.28 d	0.26 	0.25 	0.26 	0.19 	0.18 	0.17 	0.06 	: 	: 
EE_EET,COL,T,AT	3426 	3343 	2520 	2415 	2364 	2188 	2122 	1955 	1841 	1773 	1805 	1411 	1332 	340 
EE_EET,COL,T,BE	5460 	4850 	4614 	5055 	3578 	3136 	2611 	2909 	2332 	2133 	1826 	1619 	1453 	1258 
EE_EET,COL,T,BG	: 	1804 	2403 	2152 d	1202 d	1230 	1255 	1746 	1448 	734 	: 	: 	: 	: 
EE_EET,COL,T,CY	: 	82 	50 	47 	33 	31 	48 	53 	36 	41 	71 	49 	: 	: 
EE_EET,COL,T,CZ	2589 	2362 	2598 	1773 	999 	652 	827 	663 	759 	819 	835 	530 	: 	: 
EE_EET,COL,T,DE	29801 	32803 	43731 	30055 	31369 	25019 	24154 	22003 	22489 	29320 	21767 	12868 	11582 	: 
EE_EET,COL,T,DK	3343 	1575 	1485 	2014 	2057 	1030 	995 	1080 	708 	2350 	2055 	2094 	553 	: 
EE_EET,COL,T,EE	193 	105 	319 	193 	81 	72 	96 	156 	139 	244 	101 	66 	7 	: 
EE_EET,COL,T,EL	116 	90 	117 d	105 	107 d	74 d	75 d	73 d	73 	101 	128 	51 	51 	30 
EE_EET,COL,T,ES	2429 	1794 	1703 	1197 	1394 	1392 	2165 	2021 	1276 	1236 	789 	422 	46 	: 
EE_EET,COL,T,EU27_2020	: 	124709 s	124007 s	96998 	89025 	66762 	63500 	62183 	: 	: 	: 	: 	: 	: 
EE_EET,COL,T,EU28	: 	145942 s	146484 s	118454 	107005 	83501 	79675 	78437 	: 	: 	: 	: 	: 	: 
EE_EET,COL,T,FI	810 	724 	866 	1080 	1212 	900 	684 	681 	276 	587 	401 	432 	286 	58 
EE_EET,COL,T,FR	24244 	23224 	17029 	13167 	10562 	8491 	6671 	6176 	5256 	4514 	3021 	960 	98 	: 
EE_EET,COL,T,HR	622 	499 	620 	364 	345 	368 	565 	721 	: 	: 	: 	: 	: 	: 
EE_EET,COL,T,HU	: 	727 	683 	601 	885 	585 	493 	356 	521 	462 	275 	262 	125 	67 
EE_EET,COL,T,IE	3629 	1767 	1229 	917 	1887 	1928 	497 	779 	1064 	521 	966 	1169 	: 	: 
EE_EET,COL,T,IS	: 	652 	425 	395 	162 	23 	27 	8 	10 	5 	: 	: 	: 	: 
EE_EET,COL,T,IT	: 	: 	: 	13787 	9901 	622 	671 	768 	718 	694 	2749 	1500 	: 	: 
EE_EET,COL,T,LI	: 	: 	: 	: d	: 	: 	0 d	0 d	0 d	0 d	: 	: 	: 	: 
EE_EET,COL,T,LT	: 	1567 	1059 	848 	2032 	1024 	1062 	859 	573 	482 	715 	749 	271 	27 
EE_EET,COL,T,LU	: 	297 	301 	281 	260 	174 	170 	164 	155 	175 	160 	122 	69 	: 
EE_EET,COL,T,LV	709 	702 	468 	408 	402 	300 	256 	244 	249 	231 	465 	451 	: 	: 
EE_EET,COL,T,MT	: 	93 	267 	4 	56 	0 	1 	0 	0 	0 	0 	0 	0 	0 
EE_EET,COL,T,NL	4051 	3637 	2743 	2834 	2445 	2458 	2376 	2308 	1788 	1510 	1869 	1678 	1274 	1060 
EE_EET,COL,T,NO	5940 	7292 	7155 	8439 	9287 	9897 	9098 	9317 	10009 	13520 	14419 	13130 	12266 	17219 
EE_EET,COL,T,PL	: 	21207 	18047 	11120 	10390 	10134 	10909 	11497 	7881 	6990 	1582 	1144 	452 	: 
EE_EET,COL,T,PT	: 	1844 	1704 d	1742 	379 	323 	547 	728 	389 	311 	365 	34 	0 	: 
EE_EET,COL,T,RO	: 	: 	891 	796 	815 	703 	692 	743 	626 	675 	322 	113 	166 	: 
EE_EET,COL,T,SE	3789 	3250 	3481 	3013 	2922 	2572 	2204 	1970 	1531 	1485 	1530 	2180 	1916 	719 
EE_EET,COL,T,SI	: 	460 	212 	129 	155 	145 	199 	202 	86 	86 	83 	46 	: 	: 
EE_EET,COL,T,SK	: 	1332 	1078 	903 	1193 	1211 	1155 	1328 	549 	266 	180 	135 	80 	41 
EE_EET,COL,T,UK	19997 	21233 	22477 	21456 	17980 d	16738 	16175 	16254 	11773 	11150 	10315 	3751 	: 	: 
EE_EET,COL_HH,KG_HAB,AT	: 	0.38 	0.29 	0.28 	0.28 	0.26 	0.25 	0.23 	0.22 	0.21 	0.22 	0.17 	0.16 	0.04 
EE_EET,COL_HH,KG_HAB,BE	: 	0.37 	0.38 	0.39 	0.32 	0.27 	0.23 	0.26 	0.21 	0.2 	0.17 	0.15 	0.14 	0.12 
EE_EET,COL_HH,KG_HAB,BG	: 	0.23 	0.3 	0.26 	0.15 	0.15 	0.17 	0.24 	0.2 	0.1 	: 	: 	: 	: 
EE_EET,COL_HH,KG_HAB,CY	: 	0.09 	0.05 	0.05 	0.04 	0.03 	0.05 	0.06 	0.04 	0.05 	0.08 	0.05 	: 	: 
EE_EET,COL_HH,KG_HAB,CZ	: 	0.21 	0.22 	0.16 	0.08 	0.06 	0.07 	0.06 	0.05 	0.08 	0.08 	0.03 	: 	: 
EE_EET,COL_HH,KG_HAB,DE	: 	0.37 	0.51 	0.31 	0.36 	0.27 	0.29 	0.26 	0.27 	0.35 	0.25 	0.15 	0.13 	: 
EE_EET,COL_HH,KG_HAB,DK	: 	0.26 	0.25 	0.34 	0.36 	0.17 	0.17 	0.19 	0.12 	0.42 	0.37 	0.38 	0.1 	: 
EE_EET,COL_HH,KG_HAB,EE	: 	0.08 	0.24 	0.15 	0.06 	0.04 	0.07 	0.12 	0.1 	0.18 	0.08 	0.05 	0.01 	: 
EE_EET,COL_HH,KG_HAB,EL	: 	0.01 	0.01 d	0.01 	0.01 d	0.01 d	0.01 d	0.01 d	0.01 	0.01 	0.01 	0 	0 	0 
EE_EET,COL_HH,KG_HAB,ES	: 	0.02 	0.02 	0.02 	0.03 	0.03 	0.04 	0.04 	0.03 	0.03 	0.02 	0.01 	0 	: 
EE_EET,COL_HH,KG_HAB,EU27_2020	: 	0.2 s	: 	0.17 	0.16 	0.13 	0.14 	0.14 	: 	: 	: 	: 	: 	: 
EE_EET,COL_HH,KG_HAB,EU28	: 	0.22 s	: 	0.19 	0.18 	0.15 	0.15 	0.15 	: 	: 	: 	: 	: 	: 
EE_EET,COL_HH,KG_HAB,FI	: 	0.13 	0.15 	0.15 	0.15 	0.09 	0.07 	0.06 	0.05 	0.11 	0.07 	0.08 	0.05 	0.01 
EE_EET,COL_HH,KG_HAB,FR	: 	0.22 	0.22 	0.19 	0.15 	0.13 	0.1 	0.09 	0.08 	0.07 	0.04 	0.01 	0 	: 
EE_EET,COL_HH,KG_HAB,HR	: 	0.12 	0.14 	0.09 	0.07 	0.07 	0.11 	0.14 	: 	: 	: 	: 	: 	: 
EE_EET,COL_HH,KG_HAB,HU	: 	0.07 	0.07 	0.06 	0.09 	0.06 	0.05 	0.03 	0.05 	0.05 	0.03 	0.03 	0.01 	0.01 
EE_EET,COL_HH,KG_HAB,IE	: 	0.34 	0.25 	0.11 	0.12 	0.11 	0.1 	0.16 	0.18 	0.09 	0.1 	0.11 	: 	: 
EE_EET,COL_HH,KG_HAB,IS	: 	1.55 	0.99 	0.94 	0.02 	0.02 	0.02 	0.01 	0.02 	0.01 	: 	: 	: 	: 
EE_EET,COL_HH,KG_HAB,IT	: 	: 	: 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 	0.01 	0.05 	0.03 	: 	: 
EE_EET,COL_HH,KG_HAB,LT	: 	0.45 	0.28 	0.28 	0.66 	0.34 	0.34 	0.28 	0.18 	0.15 	0.22 	0.23 	0.08 	0.01 
EE_EET,COL_HH,KG_HAB,LU	: 	0.5 	0.52 	0.49 	0.47 	0.32 	0.32 	0.32 	0.31 	0.35 	0.33 	0.25 	0.15 	: 
EE_EET,COL_HH,KG_HAB,LV	: 	0.36 	0.24 	0.19 	0.2 	0.15 	0.09 	0.11 	0.12 	0.11 	0.21 	0.21 	: 	: 
EE_EET,COL_HH,KG_HAB,MT	: 	0.01 	0.01 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
EE_EET,COL_HH,KG_HAB,NL	: 	0 	0.16 	0.17 	0.12 	0.12 	0.14 	0.14 	0.11 	0.09 	0.11 	0.1 	0.08 	0.06 
EE_EET,COL_HH,KG_HAB,NO	: 	0.57 	0.63 	0.85 	0.83 	0.88 	0.99 	0.98 	0.82 	0.63 	0.31 	0.29 	0.5 	: 
EE_EET,COL_HH,KG_HAB,PL	: 	0.49 	0.45 	0.28 	0.25 	0.23 	0.26 	0.28 	0.2 	0.18 	0.02 	0.01 	0 	: 
